
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
80:14:A8:F4:09:D8, 2022-05-21 17:11:06, 2022-05-21 17:11:09,  6, 270, WPA2, CCMP TKIP, PSK, -59,        4,        0,   0.  0.  0.  0,   8, Telekooo, 
5C:35:3B:82:44:59, 2022-05-21 17:11:06, 2022-05-21 17:11:10,  6, 130, WPA2, CCMP TKIP, PSK, -40,        9,        0,   0.  0.  0.  0,   4, KUKA, 
34:4D:EA:0C:ED:43, 2022-05-21 17:11:06, 2022-05-21 17:11:09,  6, 130, WPA, CCMP TKIP, PSK, -85,        3,       11,   0.  0.  0.  0,   9, Mondial 4, 
38:43:7D:4F:2D:08, 2022-05-21 17:11:06, 2022-05-21 17:11:10,  1, 195, WPA, CCMP TKIP, PSK, -82,        5,        0,   0.  0.  0.  0,   7, ONO6C32, 
DC:53:7C:45:51:76, 2022-05-21 17:11:06, 2022-05-21 17:11:10,  1, 130, WPA2, CCMP TKIP, PSK, -85,        5,        0,   0.  0.  0.  0,  11, Abcom-wi-fi, 
5C:35:3B:B2:23:25, 2022-05-21 17:11:06, 2022-05-21 17:11:06,  1, 130, WPA2, CCMP, PSK, -82,        1,        0,   0.  0.  0.  0,  13, telenet-22320, 
2C:CF:58:21:37:A4, 2022-05-21 17:11:06, 2022-05-21 17:11:10,  1, 130, WPA2, CCMP TKIP, PSK, -88,        3,        0,   0.  0.  0.  0,   5, Rajan, 
C4:AD:34:20:46:6C, 2022-05-21 17:11:06, 2022-05-21 17:11:10,  1, 270, WPA2 WPA, CCMP, PSK, -89,        3,        0,   0.  0.  0.  0,  16, IMT BASHKIA FIER, 
08:C0:21:33:D1:A0, 2022-05-21 17:11:06, 2022-05-21 17:11:11,  8, 130, WPA2, CCMP TKIP, PSK, -72,        7,        0,   0.  0.  0.  0,  12, TRING ASLLAN, 
64:EE:B7:B9:64:5B, 2022-05-21 17:11:07, 2022-05-21 17:11:11,  2, 270, WPA2, CCMP TKIP, PSK, -81,       23,        0,   0.  0.  0.  0,   6, Fatmir, 
E4:47:B3:EF:69:6E, 2022-05-21 17:11:07, 2022-05-21 17:11:11,  3, 130, WPA2, CCMP TKIP, PSK, -78,       11,        0,   0.  0.  0.  0,  17, ALBtelecom-Gjergj, 
50:78:B3:D5:88:84, 2022-05-21 17:11:07, 2022-05-21 17:11:11,  9, 130, WPA2, CCMP TKIP, PSK, -77,        5,        0,   0.  0.  0.  0,  17, ALBtelecom-Ardian, 
B4:F5:8E:11:6F:48, 2022-05-21 17:11:08, 2022-05-21 17:11:08,  9, 270, WPA2, CCMP TKIP, PSK, -89,        3,        0,   0.  0.  0.  0,  17, ALBtelecom-Irineo, 
3C:F8:08:36:2D:CC, 2022-05-21 17:11:08, 2022-05-21 17:11:08,  9, 130, WPA2, CCMP TKIP, PSK, -86,        2,        0,   0.  0.  0.  0,  11, TRING NARDI, 
64:EE:B7:60:A4:A6, 2022-05-21 17:11:08, 2022-05-21 17:11:08,  4, 270, WPA2, CCMP TKIP, PSK, -88,        2,        0,   0.  0.  0.  0,  11, BAR-GALERIA, 
00:2E:C7:3F:0C:28, 2022-05-21 17:11:08, 2022-05-21 17:11:08,  4, 130, WPA2, CCMP TKIP, PSK, -67,        2,        0,   0.  0.  0.  0,   6, JETMIR, 
C8:8D:83:50:52:12, 2022-05-21 17:11:08, 2022-05-21 17:11:08,  4, 130, WPA2, CCMP TKIP, PSK, -85,        2,        0,   0.  0.  0.  0,   6, Jonida, 
68:CC:6E:24:AA:08, 2022-05-21 17:11:08, 2022-05-21 17:11:09, 10, 130, WPA2, CCMP TKIP, PSK, -89,        3,        0,   0.  0.  0.  0,   4, Kevi, 
50:78:B3:D5:92:AC, 2022-05-21 17:11:08, 2022-05-21 17:11:09, 11, 130, WPA2, CCMP TKIP, PSK, -81,        5,        0,   0.  0.  0.  0,  17, ALBtelecom-Donald, 
28:B4:48:B6:28:88, 2022-05-21 17:11:08, 2022-05-21 17:11:09, 10, 130, WPA2, CCMP TKIP, PSK, -90,        2,        0,   0.  0.  0.  0,   6, Klajdi, 
A0:F4:79:24:A4:C4, 2022-05-21 17:11:08, 2022-05-21 17:11:08, 10, 130, WPA2, CCMP TKIP, PSK, -87,        1,        0,   0.  0.  0.  0,   6, Adrian, 
EC:4D:47:EC:AD:E9, 2022-05-21 17:11:09, 2022-05-21 17:11:09, 10, 130, WPA2, CCMP TKIP, PSK, -90,        1,        0,   0.  0.  0.  0,   6, KLODIS, 
E4:72:E2:E5:B0:28, 2022-05-21 17:11:09, 2022-05-21 17:11:09, 11, 130, WPA2, CCMP TKIP, PSK, -68,        3,        0,   0.  0.  0.  0,   6, EDUART, 
64:EE:B7:60:F4:B5, 2022-05-21 17:11:09, 2022-05-21 17:11:09, 11, 270, WPA2, CCMP TKIP, PSK, -89,        3,        0,   0.  0.  0.  0,  12, netis_60F4B5, 
00:E0:20:6F:04:F7, 2022-05-21 17:11:09, 2022-05-21 17:11:09,  6, 130, WPA2, CCMP, PSK, -88,        2,        0,   0.  0.  0.  0,  13, Mondial 4_Ext, 
50:0F:F5:07:E2:71, 2022-05-21 17:11:09, 2022-05-21 17:11:09,  6, 270, WPA2 WPA, CCMP, PSK, -90,        1,        0,   0.  0.  0.  0,   7, Faredin, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
50:3D:C6:3A:D2:99, 2022-05-21 17:11:06, 2022-05-21 17:11:06, -89,        1, 38:43:7D:4F:2D:08,
C2:E9:92:8C:D8:AC, 2022-05-21 17:11:06, 2022-05-21 17:11:11, -79,        6, 08:C0:21:33:D1:A0,
80:4E:70:7F:67:10, 2022-05-21 17:11:09, 2022-05-21 17:11:09, -71,        1, E4:72:E2:E5:B0:28,

