
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
2C:CF:58:21:37:A4, 2022-05-21 17:10:09, 2022-05-21 17:10:09,  1, 130, WPA2, CCMP TKIP, PSK, -90,        1,        0,   0.  0.  0.  0,   5, Rajan, 
C8:8D:83:89:EB:AF, 2022-05-21 17:10:10, 2022-05-21 17:10:10,  1, 130, WPA2, CCMP TKIP, PSK, -90,        1,        0,   0.  0.  0.  0,  11, TRING BORIS, 
80:14:A8:C7:C5:90, 2022-05-21 17:10:13, 2022-05-21 17:10:17,  1, 130, WPA2, CCMP TKIP, PSK, -90,        1,        0,   0.  0.  0.  0,   8, THANASAJ, 
E4:47:B3:EF:69:6E, 2022-05-21 17:10:04, 2022-05-21 17:10:18,  3, 130, WPA2, CCMP TKIP, PSK, -89,        9,        0,   0.  0.  0.  0,  17, ALBtelecom-Gjergj, 
AC:22:05:E3:B9:11, 2022-05-21 17:10:02, 2022-05-21 17:10:17,  1, 195, WPA2, CCMP, PSK, -89,        8,        6,   0.  0.  0.  0,  13, KabelBox-18AC, 
64:EE:B7:60:A4:A6, 2022-05-21 17:10:04, 2022-05-21 17:10:19,  4, 270, WPA2, CCMP TKIP, PSK, -89,       37,        4,   0.  0.  0.  0,  11, BAR-GALERIA, 
DC:53:7C:30:03:76, 2022-05-21 17:10:02, 2022-05-21 17:10:17,  1, 130, WPA2, CCMP, PSK, -88,        5,        0,   0.  0.  0.  0,  11, Abcom-wi-fi, 
7C:39:53:BC:4D:38, 2022-05-21 17:10:02, 2022-05-21 17:10:17,  1, 130, WPA2, CCMP TKIP, PSK, -88,        7,        0,   0.  0.  0.  0,  16, ALBtelecom-Driza, 
5C:35:3B:B9:3B:9C, 2022-05-21 17:10:10, 2022-05-21 17:10:17,  1, 130, WPA2, CCMP, PSK, -88,        5,        0,   0.  0.  0.  0,   6, Nexhip, 
90:5C:44:74:4B:21, 2022-05-21 17:10:06, 2022-05-21 17:10:17,  1, 195, WPA, CCMP TKIP, PSK, -87,        2,        0,   0.  0.  0.  0,   9, cbn-6E7E7, 
64:EE:B7:6B:BC:F3, 2022-05-21 17:10:04, 2022-05-21 17:10:08,  3, 130, WPA2, CCMP, PSK, -87,        3,        0,   0.  0.  0.  0,  11, Galeria_Bar, 
34:4D:EA:0C:ED:43, 2022-05-21 17:10:05, 2022-05-21 17:10:20,  6, 130, WPA, CCMP TKIP, PSK, -88,        6,        6,   0.  0.  0.  0,   9, Mondial 4, 
