
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E4:72:E2:E5:B0:28, 2022-05-21 18:06:59, 2022-05-21 18:07:02, 11, 130, WPA2, CCMP TKIP, PSK, -68,        4,        0,   0.  0.  0.  0,   6, EDUART, 
34:4D:EA:0C:ED:43, 2022-05-21 18:06:59, 2022-05-21 18:06:59,  6,  -1, WPA, ,   , -88,        0,        2,   0.  0.  0.  0,   0, , 
5C:35:3B:B9:3B:9C, 2022-05-21 18:06:59, 2022-05-21 18:07:00,  1,  -1, WPA, ,   ,  -1,        0,       16,   0.  0.  0.  0,   0, , 
38:43:7D:4F:2D:08, 2022-05-21 18:07:00, 2022-05-21 18:07:00,  1, 195, WPA, CCMP TKIP, PSK, -83,        1,        0,   0.  0.  0.  0,   7, ONO6C32, 
5C:35:3B:82:44:59, 2022-05-21 18:07:00, 2022-05-21 18:07:03,  6, 130, WPA2, CCMP TKIP, PSK, -39,        4,        0,   0.  0.  0.  0,   4, KUKA, 
64:EE:B7:B9:64:5B, 2022-05-21 18:07:00, 2022-05-21 18:07:01,  2, 270, WPA2, CCMP TKIP, PSK, -88,        6,        0,   0.  0.  0.  0,   6, Fatmir, 
08:C0:21:33:D1:A0, 2022-05-21 18:07:01, 2022-05-21 18:07:01,  8, 130, WPA2, CCMP TKIP, PSK, -73,        7,        0,   0.  0.  0.  0,  12, TRING ASLLAN, 
E4:47:B3:EF:69:6E, 2022-05-21 18:07:01, 2022-05-21 18:07:01,  3, 130, WPA2, CCMP TKIP, PSK, -78,        2,       24,   0.  0.  0.  0,  17, ALBtelecom-Gjergj, 
00:2E:C7:3F:0C:28, 2022-05-21 18:07:01, 2022-05-21 18:07:01,  3,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
50:78:B3:D5:88:84, 2022-05-21 18:07:01, 2022-05-21 18:07:02,  9, 130, WPA2, CCMP TKIP, PSK, -77,        5,        0,   0.  0.  0.  0,  17, ALBtelecom-Ardian, 
3C:F8:08:36:2D:CC, 2022-05-21 18:07:01, 2022-05-21 18:07:02,  9, 130, WPA2, CCMP TKIP, PSK, -85,        3,        0,   0.  0.  0.  0,  11, TRING NARDI, 
C8:8D:83:50:52:12, 2022-05-21 18:07:02, 2022-05-21 18:07:02,  4, 130, WPA2, CCMP TKIP, PSK, -83,        2,        0,   0.  0.  0.  0,   6, Jonida, 
50:0F:F5:D0:F6:99, 2022-05-21 18:07:02, 2022-05-21 18:07:02,  4,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
80:14:A8:F4:09:D8, 2022-05-21 18:07:02, 2022-05-21 18:07:03,  6, 270, WPA2, CCMP TKIP, PSK, -56,        2,        0,   0.  0.  0.  0,   8, Telekooo, 
9E:93:4E:3E:6C:84, 2022-05-21 18:07:02, 2022-05-21 18:07:02, 11,  54, WPA2, CCMP, PSK, -84,        1,        0,   0.  0.  0.  0,  24, DIRECT-CQWorkCentre 3025, 
2C:AB:00:97:65:F6, 2022-05-21 18:07:02, 2022-05-21 18:07:02, 11, 130, WPA2, CCMP TKIP, PSK, -86,        1,        0,   0.  0.  0.  0,   5, Gezim, 
00:E0:20:6F:04:F7, 2022-05-21 18:07:03, 2022-05-21 18:07:03,  6, 130, WPA2, CCMP, PSK, -88,        1,        0,   0.  0.  0.  0,  13, Mondial 4_Ext, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
92:71:59:F8:6B:2E, 2022-05-21 18:06:59, 2022-05-21 18:06:59, -80,        1, (not associated) ,Abcom-wi-fi
8A:89:A6:B2:23:D5, 2022-05-21 18:06:59, 2022-05-21 18:07:00, -87,       21, 5C:35:3B:B9:3B:9C,
5E:81:38:A7:FD:93, 2022-05-21 18:07:00, 2022-05-21 18:07:00, -88,        2, (not associated) ,HomeNet
82:81:1D:DF:18:BC, 2022-05-21 18:07:01, 2022-05-21 18:07:01,  -1,       24, E4:47:B3:EF:69:6E,
16:1D:25:27:91:73, 2022-05-21 18:07:01, 2022-05-21 18:07:01, -77,        2, 00:2E:C7:3F:0C:28,
C2:E9:92:8C:D8:AC, 2022-05-21 18:07:01, 2022-05-21 18:07:01, -78,        1, 08:C0:21:33:D1:A0,

