
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
34:4D:EA:0C:ED:43, 2022-05-21 18:02:24, 2022-05-21 18:02:31,  6, 130, WPA, CCMP TKIP, PSK, -89,        2,        1,   0.  0.  0.  0,   9, Mondial 4, 
38:43:7D:4F:2D:08, 2022-05-21 18:02:21, 2022-05-21 18:02:28,  1, 195, WPA, CCMP TKIP, PSK, -89,        4,        0,   0.  0.  0.  0,   7, ONO6C32, 
64:EE:B7:60:A4:A6, 2022-05-21 18:02:23, 2022-05-21 18:02:27,  4, 270, WPA2, CCMP TKIP, PSK, -92,        8,        0,   0.  0.  0.  0,  11, BAR-GALERIA, 
64:EE:B7:B9:64:5B, 2022-05-21 18:02:21, 2022-05-21 18:02:30,  2, 270, WPA2, CCMP TKIP, PSK, -84,       36,        0,   0.  0.  0.  0,   6, Fatmir, 
2C:AB:00:97:65:F6, 2022-05-21 18:02:24, 2022-05-21 18:02:31, 11, 130, WPA2, CCMP TKIP, PSK, -86,        8,        0,   0.  0.  0.  0,   5, Gezim, 
DC:53:7C:45:51:76, 2022-05-21 18:02:21, 2022-05-21 18:02:29,  1, 130, WPA2, CCMP TKIP, PSK, -82,        4,        0,   0.  0.  0.  0,  11, Abcom-wi-fi, 
E4:47:B3:EF:69:6E, 2022-05-21 18:02:23, 2022-05-21 18:02:30,  3, 130, WPA2, CCMP TKIP, PSK, -86,       15,        0,   0.  0.  0.  0,  17, ALBtelecom-Gjergj, 
50:78:B3:D5:92:AC, 2022-05-21 18:02:24, 2022-05-21 18:02:31, 11, 130, WPA2, CCMP TKIP, PSK, -79,        8,        0,   0.  0.  0.  0,  17, ALBtelecom-Donald, 
50:78:B3:D5:88:84, 2022-05-21 18:02:23, 2022-05-21 18:02:31,  9, 130, WPA2, CCMP TKIP, PSK, -78,       12,        0,   0.  0.  0.  0,  17, ALBtelecom-Ardian, 
08:C0:21:33:D1:A0, 2022-05-21 18:02:22, 2022-05-21 18:02:30,  8, 130, WPA2, CCMP TKIP, PSK, -75,       12,        0,   0.  0.  0.  0,  12, TRING ASLLAN, 
E4:72:E2:E5:B0:28, 2022-05-21 18:02:24, 2022-05-21 18:02:31, 11, 130, WPA2, CCMP TKIP, PSK, -62,       16,        2,   0.  0.  0.  0,   6, EDUART, 
00:2E:C7:3F:0C:28, 2022-05-21 18:02:23, 2022-05-21 18:02:31,  4, 130, WPA2, CCMP TKIP, PSK, -65,       11,        0,   0.  0.  0.  0,   6, JETMIR, 
80:14:A8:F4:09:D8, 2022-05-21 18:02:21, 2022-05-21 18:02:32,  6, 270, WPA2, CCMP TKIP, PSK, -58,       13,        2,   0.  0.  0.  0,   8, Telekooo, 
5C:35:3B:82:44:59, 2022-05-21 18:02:21, 2022-05-21 18:02:32,  6, 130, WPA2, CCMP TKIP, PSK, -43,       17,        2,   0.  0.  0.  0,   4, KUKA, 
AC:22:05:E3:B9:11, 2022-05-21 18:02:21, 2022-05-21 18:02:21,  1,  -1, WPA, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
5C:35:3B:B9:3B:9C, 2022-05-21 18:02:25, 2022-05-21 18:02:29,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
3C:F8:08:36:2D:CC, 2022-05-21 18:02:27, 2022-05-21 18:02:27,  9,  -1, WPA, ,   , -87,        0,        1,   0.  0.  0.  0,   0, , 
0C:C6:CC:DD:13:68, 2022-05-21 18:02:27, 2022-05-21 18:02:27,  9, 130, WPA2, CCMP TKIP, PSK, -90,        1,        0,   0.  0.  0.  0,   7, MARJANA, 
E8:94:F6:33:09:A9, 2022-05-21 18:02:27, 2022-05-21 18:02:27,  4, 135, WPA2 WPA, CCMP TKIP, PSK, -92,        0,        0,   0.  0.  0.  0,   8, ZH_URBAN, 
DC:53:7C:30:03:76, 2022-05-21 18:02:28, 2022-05-21 18:02:28,  1, 130, WPA2, CCMP, PSK, -90,        1,        0,   0.  0.  0.  0,  11, Abcom-wi-fi, 
C8:8D:83:50:52:12, 2022-05-21 18:02:31, 2022-05-21 18:02:31,  4, 130, WPA2, CCMP TKIP, PSK, -84,        1,        1,   0.  0.  0.  0,   6, Jonida, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
94:E0:D6:04:05:B2, 2022-05-21 18:02:21, 2022-05-21 18:02:21, -92,        2, AC:22:05:E3:B9:11,
8A:89:A6:B2:23:D5, 2022-05-21 18:02:25, 2022-05-21 18:02:29, -90,        2, 5C:35:3B:B9:3B:9C,
32:3D:78:44:C7:92, 2022-05-21 18:02:24, 2022-05-21 18:02:29, -80,       10, 80:14:A8:F4:09:D8,
80:4E:70:7F:67:10, 2022-05-21 18:02:24, 2022-05-21 18:02:31, -65,       10, E4:72:E2:E5:B0:28,
04:8D:38:CC:A1:00, 2022-05-21 18:02:28, 2022-05-21 18:02:28, -26,        2, 5C:35:3B:82:44:59,
00:C3:F4:E5:D7:E6, 2022-05-21 18:02:31, 2022-05-21 18:02:31, -90,        1, 2C:AB:00:97:65:F6,

