
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
5C:35:3B:B2:23:25, 2022-05-21 18:06:28, 2022-05-21 18:06:31,  1, 130, WPA2, CCMP, PSK, -91,        1,        0,   0.  0.  0.  0,  13, telenet-22320, 
9E:93:4E:3E:6C:84, 2022-05-21 18:06:27, 2022-05-21 18:06:31, 11,  54, WPA2, CCMP, PSK, -87,        2,        0,   0.  0.  0.  0,  24, DIRECT-CQWorkCentre 3025, 
2C:AB:00:97:65:F6, 2022-05-21 18:06:27, 2022-05-21 18:06:31, 11, 130, WPA2, CCMP TKIP, PSK, -87,        6,        0,   0.  0.  0.  0,   5, Gezim, 
38:43:7D:4F:2D:08, 2022-05-21 18:06:24, 2022-05-21 18:06:31,  1, 195, WPA, CCMP TKIP, PSK, -80,        7,        0,   0.  0.  0.  0,   7, ONO6C32, 
DC:53:7C:45:51:76, 2022-05-21 18:06:24, 2022-05-21 18:06:31,  1, 130, WPA2, CCMP TKIP, PSK, -83,        1,        1,   0.  0.  0.  0,  11, Abcom-wi-fi, 
64:EE:B7:B9:64:5B, 2022-05-21 18:06:25, 2022-05-21 18:06:32,  2, 270, WPA2, CCMP TKIP, PSK, -88,       21,        0,   0.  0.  0.  0,   6, Fatmir, 
50:78:B3:D5:88:84, 2022-05-21 18:06:25, 2022-05-21 18:06:30,  9, 130, WPA2, CCMP TKIP, PSK, -77,        7,        0,   0.  0.  0.  0,  17, ALBtelecom-Ardian, 
E4:47:B3:EF:69:6E, 2022-05-21 18:06:25, 2022-05-21 18:06:30,  3, 130, WPA2, CCMP TKIP, PSK, -80,       10,       80,   0.  0.  0.  0,  17, ALBtelecom-Gjergj, 
50:78:B3:D5:92:AC, 2022-05-21 18:06:27, 2022-05-21 18:06:27, 11, 130, WPA2, CCMP TKIP, PSK, -80,        1,        0,   0.  0.  0.  0,  17, ALBtelecom-Donald, 
08:C0:21:33:D1:A0, 2022-05-21 18:06:25, 2022-05-21 18:06:33,  8, 130, WPA2, CCMP TKIP, PSK, -77,       13,        2,   0.  0.  0.  0,  12, TRING ASLLAN, 
00:2E:C7:3F:0C:28, 2022-05-21 18:06:29, 2022-05-21 18:06:30,  4, 130, WPA2, CCMP TKIP, PSK, -72,        3,        0,   0.  0.  0.  0,   6, JETMIR, 
E4:72:E2:E5:B0:28, 2022-05-21 18:06:26, 2022-05-21 18:06:31, 11, 130, WPA2, CCMP TKIP, PSK, -65,        6,        0,   0.  0.  0.  0,   6, EDUART, 
80:14:A8:F4:09:D8, 2022-05-21 18:06:24, 2022-05-21 18:06:31,  6, 270, WPA2, CCMP TKIP, PSK, -53,       11,        0,   0.  0.  0.  0,   8, Telekooo, 
5C:35:3B:82:44:59, 2022-05-21 18:06:24, 2022-05-21 18:06:32,  6, 130, WPA2, CCMP TKIP, PSK, -50,        9,        1,   0.  0.  0.  0,   4, KUKA, 
5C:35:3B:B9:3B:9C, 2022-05-21 18:06:24, 2022-05-21 18:06:31,  1,  -1, WPA, ,   ,  -1,        0,        5,   0.  0.  0.  0,   0, , 
34:E3:80:45:20:70, 2022-05-21 18:06:25, 2022-05-21 18:06:29,  3,  -1, OPN, ,   ,  -1,        0,        3, 192.168.  1. 30,   0, , 
64:EE:B7:60:A4:A6, 2022-05-21 18:06:30, 2022-05-21 18:06:30,  4, 270, WPA2, CCMP TKIP, PSK, -90,        1,        0,   0.  0.  0.  0,  11, BAR-GALERIA, 
00:E0:20:6F:04:F7, 2022-05-21 18:06:31, 2022-05-21 18:06:31,  6, 130, WPA2, CCMP, PSK, -87,        2,        0,   0.  0.  0.  0,  13, Mondial 4_Ext, 
74:A7:8E:83:45:02, 2022-05-21 18:06:31, 2022-05-21 18:06:31,  6, 130, WPA, CCMP TKIP, PSK, -87,        2,        1,   0.  0.  0.  0,   5, Rrapi, 
DC:53:7C:30:03:76, 2022-05-21 18:06:31, 2022-05-21 18:06:31,  1, 130, WPA2, CCMP, PSK, -88,        1,        0,   0.  0.  0.  0,  11, Abcom-wi-fi, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
34:B9:8D:47:3B:A9, 2022-05-21 18:06:25, 2022-05-21 18:06:29, -92,        5, 34:E3:80:45:20:70,
8A:89:A6:B2:23:D5, 2022-05-21 18:06:24, 2022-05-21 18:06:31, -88,        7, 5C:35:3B:B9:3B:9C,
80:4E:70:7F:67:10, 2022-05-21 18:06:26, 2022-05-21 18:06:27, -78,        2, E4:72:E2:E5:B0:28,
32:3D:78:44:C7:92, 2022-05-21 18:06:24, 2022-05-21 18:06:27, -77,        5, 80:14:A8:F4:09:D8,Telekooo
82:81:1D:DF:18:BC, 2022-05-21 18:06:25, 2022-05-21 18:06:29,  -1,       80, E4:47:B3:EF:69:6E,
16:1D:25:27:91:73, 2022-05-21 18:06:30, 2022-05-21 18:06:30, -72,        5, 00:2E:C7:3F:0C:28,
04:8D:38:CC:A1:00, 2022-05-21 18:06:31, 2022-05-21 18:06:31, -44,        1, 5C:35:3B:82:44:59,
92:71:59:F8:6B:2E, 2022-05-21 18:06:31, 2022-05-21 18:06:31, -84,        1, DC:53:7C:45:51:76,

