
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
5C:35:3B:82:44:59, 2022-05-21 17:39:12, 2022-05-21 17:39:12,  6, 130, WPA2, CCMP TKIP, PSK, -41,        4,        0,   0.  0.  0.  0,   4, KUKA, 
34:4D:EA:0C:ED:43, 2022-05-21 17:39:12, 2022-05-21 17:39:12,  6, 130, WPA, CCMP TKIP, PSK, -87,        1,        0,   0.  0.  0.  0,   9, Mondial 4, 
80:14:A8:F4:09:D8, 2022-05-21 17:39:12, 2022-05-21 17:39:12,  6, 270, WPA2, CCMP TKIP, PSK, -56,        2,        0,   0.  0.  0.  0,   8, Telekooo, 
38:43:7D:4F:2D:08, 2022-05-21 17:39:12, 2022-05-21 17:39:12,  1, 195, WPA, CCMP TKIP, PSK, -85,        2,        0,   0.  0.  0.  0,   7, ONO6C32, 
64:EE:B7:B9:64:5B, 2022-05-21 17:39:12, 2022-05-21 17:39:14,  2, 270, WPA2, CCMP TKIP, PSK, -85,       16,        0,   0.  0.  0.  0,   6, Fatmir, 
DC:53:7C:45:51:76, 2022-05-21 17:39:12, 2022-05-21 17:39:12,  1, 130, WPA2, CCMP TKIP, PSK, -87,        2,        0,   0.  0.  0.  0,  11, Abcom-wi-fi, 
AC:22:05:E3:B9:11, 2022-05-21 17:39:12, 2022-05-21 17:39:12,  1,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
5C:35:3B:B2:23:25, 2022-05-21 17:39:12, 2022-05-21 17:39:12,  1, 130, WPA2, CCMP, PSK, -90,        1,        0,   0.  0.  0.  0,  13, telenet-22320, 
DC:53:7C:48:59:0C, 2022-05-21 17:39:12, 2022-05-21 17:39:12,  1, 195, WPA, CCMP TKIP, PSK, -92,        1,        0,   0.  0.  0.  0,   5, WI-FI, 
08:C0:21:33:D1:A0, 2022-05-21 17:39:13, 2022-05-21 17:39:13,  8, 130, WPA2, CCMP TKIP, PSK, -73,        2,        0,   0.  0.  0.  0,  12, TRING ASLLAN, 
E4:47:B3:EF:69:6E, 2022-05-21 17:39:13, 2022-05-21 17:39:14,  3, 130, WPA2, CCMP TKIP, PSK, -84,        6,        0,   0.  0.  0.  0,  17, ALBtelecom-Gjergj, 
00:2E:C7:3F:0C:28, 2022-05-21 17:39:14, 2022-05-21 17:39:14,  4, 130, WPA2, CCMP TKIP, PSK, -70,        4,        0,   0.  0.  0.  0,   6, JETMIR, 
50:78:B3:D5:88:84, 2022-05-21 17:39:14, 2022-05-21 17:39:14,  9, 130, WPA2, CCMP TKIP, PSK, -82,        3,        0,   0.  0.  0.  0,  17, ALBtelecom-Ardian, 
3C:F8:08:36:2D:CC, 2022-05-21 17:39:14, 2022-05-21 17:39:14,  9, 130, WPA2, CCMP TKIP, PSK, -89,        1,        0,   0.  0.  0.  0,  11, TRING NARDI, 
C8:8D:83:50:52:12, 2022-05-21 17:39:14, 2022-05-21 17:39:14,  4, 130, WPA2, CCMP TKIP, PSK, -86,        2,        0,   0.  0.  0.  0,   6, Jonida, 
50:78:B3:D5:92:AC, 2022-05-21 17:39:14, 2022-05-21 17:39:14, 11, 130, WPA2, CCMP TKIP, PSK, -81,        1,        0,   0.  0.  0.  0,  17, ALBtelecom-Donald, 
68:CC:6E:24:AA:08, 2022-05-21 17:39:14, 2022-05-21 17:39:14, 10, 130, WPA2, CCMP TKIP, PSK, -90,        2,        0,   0.  0.  0.  0,   4, Kevi, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
02:E0:20:0F:04:F7, 2022-05-21 17:39:12, 2022-05-21 17:39:12, -88,        1, 34:4D:EA:0C:ED:43,

