
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
64:EE:B7:60:A4:A6, 2022-05-21 18:05:07, 2022-05-21 18:05:19,  4, 270, WPA2, CCMP TKIP, PSK, -88,        3,        4,   0.  0.  0.  0,  11, BAR-GALERIA, 
0C:C6:CC:DD:13:68, 2022-05-21 18:05:11, 2022-05-21 18:05:15,  9, 130, WPA2, CCMP TKIP, PSK, -89,        3,        0,   0.  0.  0.  0,   7, MARJANA, 
74:A7:8E:83:45:02, 2022-05-21 18:05:08, 2022-05-21 18:05:19,  6,  -1, WPA, ,   , -89,        0,        4,   0.  0.  0.  0,   0, , 
00:E0:20:6F:04:F7, 2022-05-21 18:05:08, 2022-05-21 18:05:20,  6, 130, WPA2, CCMP, PSK, -89,        8,        0,   0.  0.  0.  0,  13, Mondial 4_Ext, 
34:4D:EA:0C:ED:43, 2022-05-21 18:05:08, 2022-05-21 18:05:20,  6, 130, WPA, CCMP TKIP, PSK, -89,        9,        0,   0.  0.  0.  0,   9, Mondial 4, 
2C:AB:00:97:65:F6, 2022-05-21 18:05:08, 2022-05-21 18:05:19, 11, 130, WPA2, CCMP TKIP, PSK, -86,        6,        0,   0.  0.  0.  0,   5, Gezim, 
5C:35:3B:B2:23:25, 2022-05-21 18:05:12, 2022-05-21 18:05:20,  1, 130, WPA2, CCMP, PSK, -87,        6,        0,   0.  0.  0.  0,  13, telenet-22320, 
64:EE:B7:B9:64:5B, 2022-05-21 18:05:06, 2022-05-21 18:05:21,  2, 270, WPA2, CCMP TKIP, PSK, -87,       66,        0,   0.  0.  0.  0,   6, Fatmir, 
C8:8D:83:50:52:12, 2022-05-21 18:05:07, 2022-05-21 18:05:22,  4, 130, WPA2, CCMP TKIP, PSK, -86,       10,        0,   0.  0.  0.  0,   6, Jonida, 
9E:93:4E:3E:6C:84, 2022-05-21 18:05:12, 2022-05-21 18:05:19, 11,  54, WPA2, CCMP, PSK, -84,        4,        0,   0.  0.  0.  0,  24, DIRECT-CQWorkCentre 3025, 
38:43:7D:4F:2D:08, 2022-05-21 18:05:09, 2022-05-21 18:05:20,  1, 195, WPA, CCMP TKIP, PSK, -83,        8,        0,   0.  0.  0.  0,   7, ONO6C32, 
08:C0:21:33:D1:A0, 2022-05-21 18:05:06, 2022-05-21 18:05:21,  8, 130, WPA2, CCMP TKIP, PSK, -83,       13,        1,   0.  0.  0.  0,  12, TRING ASLLAN, 
E4:47:B3:EF:69:6E, 2022-05-21 18:05:06, 2022-05-21 18:05:21,  3, 130, WPA2, CCMP TKIP, PSK, -77,       28,      162,   0.  0.  0.  0,  17, ALBtelecom-Gjergj, 
50:78:B3:D5:88:84, 2022-05-21 18:05:07, 2022-05-21 18:05:22,  9, 130, WPA2, CCMP TKIP, PSK, -77,       22,       13,   0.  0.  0.  0,  17, ALBtelecom-Ardian, 
00:2E:C7:3F:0C:28, 2022-05-21 18:05:06, 2022-05-21 18:05:22,  4, 130, WPA2, CCMP TKIP, PSK, -70,        7,        3,   0.  0.  0.  0,   6, JETMIR, 
E4:72:E2:E5:B0:28, 2022-05-21 18:05:08, 2022-05-21 18:05:20, 11, 130, WPA2, CCMP TKIP, PSK, -65,       15,      111,   0.  0.  0.  0,   6, EDUART, 
80:14:A8:F4:09:D8, 2022-05-21 18:05:08, 2022-05-21 18:05:22,  6, 270, WPA2, CCMP TKIP, PSK, -58,       23,        0,   0.  0.  0.  0,   8, Telekooo, 
5C:35:3B:82:44:59, 2022-05-21 18:05:08, 2022-05-21 18:05:22,  6, 130, WPA2, CCMP TKIP, PSK, -41,       22,        4,   0.  0.  0.  0,   4, KUKA, 
