
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:E0:20:6F:04:F7, 2022-05-21 17:37:20, 2022-05-21 17:37:20,  6, 130, WPA2, CCMP, PSK, -90,        1,        0,   0.  0.  0.  0,  13, Mondial 4_Ext, 
34:4D:EA:0C:ED:43, 2022-05-21 17:37:20, 2022-05-21 17:37:20,  6, 130, WPA, CCMP TKIP, PSK, -89,        2,        1,   0.  0.  0.  0,   9, Mondial 4, 
2C:CF:58:21:37:A4, 2022-05-21 17:37:21, 2022-05-21 17:37:21,  1, 130, WPA2, CCMP TKIP, PSK, -89,        2,        0,   0.  0.  0.  0,   5, Rajan, 
74:A7:8E:83:45:02, 2022-05-21 17:37:20, 2022-05-21 17:37:20,  6,  -1, WPA, ,   , -88,        0,        1,   0.  0.  0.  0,   0, , 
3C:F8:08:36:2D:CC, 2022-05-21 17:37:19, 2022-05-21 17:37:23,  9, 130, WPA2, CCMP TKIP, PSK, -88,        5,        0,   0.  0.  0.  0,  11, TRING NARDI, 
2C:AB:00:97:65:F6, 2022-05-21 17:37:20, 2022-05-21 17:37:24, 11, 130, WPA2, CCMP TKIP, PSK, -86,        3,        0,   0.  0.  0.  0,   5, Gezim, 
38:43:7D:4F:2D:08, 2022-05-21 17:37:17, 2022-05-21 17:37:21,  1, 195, WPA, CCMP TKIP, PSK, -85,        7,        0,   0.  0.  0.  0,   7, ONO6C32, 
C8:8D:83:50:52:12, 2022-05-21 17:37:19, 2022-05-21 17:37:23,  4, 130, WPA2, CCMP TKIP, PSK, -84,        7,        0,   0.  0.  0.  0,   6, Jonida, 
64:EE:B7:B9:64:5B, 2022-05-21 17:37:18, 2022-05-21 17:37:23,  2, 270, WPA2, CCMP TKIP, PSK, -83,       26,        0,   0.  0.  0.  0,   6, Fatmir, 
DC:53:7C:45:51:76, 2022-05-21 17:37:17, 2022-05-21 17:37:21,  1, 130, WPA2, CCMP TKIP, PSK, -82,        5,        1,   0.  0.  0.  0,  11, Abcom-wi-fi, 
50:78:B3:D5:92:AC, 2022-05-21 17:37:17, 2022-05-21 17:37:24, 11, 130, WPA2, CCMP TKIP, PSK, -81,        8,        0,   0.  0.  0.  0,  17, ALBtelecom-Donald, 
08:C0:21:33:D1:A0, 2022-05-21 17:37:18, 2022-05-21 17:37:23,  8, 130, WPA2, CCMP TKIP, PSK, -80,        7,        0,   0.  0.  0.  0,  12, TRING ASLLAN, 
E4:47:B3:EF:69:6E, 2022-05-21 17:37:18, 2022-05-21 17:37:23,  3, 130, WPA2, CCMP TKIP, PSK, -77,       13,        0,   0.  0.  0.  0,  17, ALBtelecom-Gjergj, 
E4:72:E2:E5:B0:28, 2022-05-21 17:37:19, 2022-05-21 17:37:24, 11, 130, WPA2, CCMP TKIP, PSK, -69,        8,        0,   0.  0.  0.  0,   6, EDUART, 
00:2E:C7:3F:0C:28, 2022-05-21 17:37:19, 2022-05-21 17:37:23,  4, 130, WPA2, CCMP TKIP, PSK, -67,        6,        0,   0.  0.  0.  0,   6, JETMIR, 
80:14:A8:F4:09:D8, 2022-05-21 17:37:20, 2022-05-21 17:37:23,  6, 270, WPA2, CCMP TKIP, PSK, -53,        6,        0,   0.  0.  0.  0,   8, Telekooo, 
5C:35:3B:82:44:59, 2022-05-21 17:37:20, 2022-05-21 17:37:23,  6, 130, WPA2, CCMP TKIP, PSK, -40,        6,        2,   0.  0.  0.  0,   4, KUKA, 
B4:F5:8E:11:6F:48, 2022-05-21 17:37:23, 2022-05-21 17:37:23,  9, 130, WPA2, CCMP TKIP, PSK, -90,        1,        0,   0.  0.  0.  0,  17, ALBtelecom-Irineo, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C2:E9:92:8C:D8:AC, 2022-05-21 17:37:18, 2022-05-21 17:37:23, -83,        4, 08:C0:21:33:D1:A0,
80:4E:70:7F:67:10, 2022-05-21 17:37:20, 2022-05-21 17:37:21, -79,        3, E4:72:E2:E5:B0:28,
04:8D:38:CC:A1:00, 2022-05-21 17:37:20, 2022-05-21 17:37:20, -33,        2, 5C:35:3B:82:44:59,

