
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
2C:CF:58:21:37:A4, 2022-05-21 18:04:10, 2022-05-21 18:04:15,  1, 130, WPA2, CCMP TKIP, PSK, -90,        2,        0,   0.  0.  0.  0,   5, Rajan, 
68:CC:6E:24:AA:08, 2022-05-21 18:04:06, 2022-05-21 18:04:06, 10, 130, WPA2, CCMP TKIP, PSK, -90,        1,        0,   0.  0.  0.  0,   4, Kevi, 
E4:47:B3:EF:6D:04, 2022-05-21 18:04:07, 2022-05-21 18:04:07,  7, 130, WPA2, CCMP TKIP, PSK, -90,        0,        0,   0.  0.  0.  0,  18, ALBtelecom-CELULAR, 
50:0F:F5:D0:F6:99, 2022-05-21 18:04:12, 2022-05-21 18:04:12,  4,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:53:7C:30:03:76, 2022-05-21 18:04:07, 2022-05-21 18:04:32,  1, 130, WPA2, CCMP, PSK, -90,        3,        0,   0.  0.  0.  0,  11, Abcom-wi-fi, 
A0:F4:79:24:A4:C4, 2022-05-21 18:04:09, 2022-05-21 18:04:27, 10, 130, WPA2, CCMP TKIP, PSK, -90,        4,        0,   0.  0.  0.  0,   6, Adrian, 
5C:35:3B:B2:23:25, 2022-05-21 18:04:08, 2022-05-21 18:04:35,  1, 130, WPA2, CCMP, PSK, -90,        5,        0,   0.  0.  0.  0,  13, telenet-22320, 
64:EE:B7:60:F4:B5, 2022-05-21 18:04:21, 2022-05-21 18:04:27, 11, 270, WPA2, CCMP TKIP, PSK, -89,        2,        0,   0.  0.  0.  0,  12, netis_60F4B5, 
94:0B:19:FD:4E:C4, 2022-05-21 18:04:20, 2022-05-21 18:04:23, 10, 130, WPA2, CCMP TKIP, PSK, -89,        1,        0,   0.  0.  0.  0,  15, ALBtelecom-WIFI, 
0C:C6:CC:DD:13:68, 2022-05-21 18:04:13, 2022-05-21 18:04:37,  9, 130, WPA2, CCMP TKIP, PSK, -89,        8,        0,   0.  0.  0.  0,   7, MARJANA, 
5C:35:3B:B9:3B:9C, 2022-05-21 18:04:08, 2022-05-21 18:04:28,  1, 130, WPA2, CCMP, PSK, -89,        0,        0,   0.  0.  0.  0,   6, Nexhip, 
34:4D:EA:0C:ED:43, 2022-05-21 18:04:06, 2022-05-21 18:04:38,  6, 130, WPA, CCMP TKIP, PSK, -88,       18,        6,   0.  0.  0.  0,   9, Mondial 4, 
74:A7:8E:83:45:02, 2022-05-21 18:04:17, 2022-05-21 18:04:38,  6,  -1, WPA, ,   , -88,        0,       17,   0.  0.  0.  0,   0, , 
64:EE:B7:B9:64:5B, 2022-05-21 18:04:04, 2022-05-21 18:04:36,  2, 270, WPA2, CCMP TKIP, PSK, -87,       69,        0,   0.  0.  0.  0,   6, Fatmir, 
00:E0:20:6F:04:F7, 2022-05-21 18:04:06, 2022-05-21 18:04:38,  6, 130, WPA2, CCMP, PSK, -87,       13,        0,   0.  0.  0.  0,  13, Mondial 4_Ext, 
2C:AB:00:97:65:F6, 2022-05-21 18:04:06, 2022-05-21 18:04:38, 11, 130, WPA2, CCMP TKIP, PSK, -86,       15,        0,   0.  0.  0.  0,   5, Gezim, 
C8:8D:83:50:52:12, 2022-05-21 18:04:06, 2022-05-21 18:04:30,  4, 130, WPA2, CCMP TKIP, PSK, -85,        9,        0,   0.  0.  0.  0,   6, Jonida, 
38:43:7D:4F:2D:08, 2022-05-21 18:04:03, 2022-05-21 18:04:36,  1, 195, WPA, CCMP TKIP, PSK, -85,       19,        0,   0.  0.  0.  0,   7, ONO6C32, 
9E:93:4E:3E:6C:84, 2022-05-21 18:04:10, 2022-05-21 18:04:21, 11,  54, WPA2, CCMP, PSK, -84,        5,        0,   0.  0.  0.  0,  24, DIRECT-CQWorkCentre 3025, 
3C:F8:08:36:2D:CC, 2022-05-21 18:04:05, 2022-05-21 18:04:20,  9, 130, WPA2, CCMP TKIP, PSK, -83,        3,        0,   0.  0.  0.  0,  11, TRING NARDI, 
DC:53:7C:45:51:76, 2022-05-21 18:04:14, 2022-05-21 18:04:36,  1, 130, WPA2, CCMP TKIP, PSK, -82,        1,        2,   0.  0.  0.  0,  11, Abcom-wi-fi, 
E4:47:B3:EF:69:6E, 2022-05-21 18:04:04, 2022-05-21 18:04:38,  3, 130, WPA2, CCMP TKIP, PSK, -78,       32,      197,   0.  0.  0.  0,  17, ALBtelecom-Gjergj, 
50:78:B3:D5:92:AC, 2022-05-21 18:04:03, 2022-05-21 18:04:35, 11, 130, WPA2, CCMP TKIP, PSK, -78,       12,        0,   0.  0.  0.  0,  17, ALBtelecom-Donald, 
50:78:B3:D5:88:84, 2022-05-21 18:04:04, 2022-05-21 18:04:39,  9, 130, WPA2, CCMP TKIP, PSK, -77,       58,        0,   0.  0.  0.  0,  17, ALBtelecom-Ardian, 
08:C0:21:33:D1:A0, 2022-05-21 18:04:04, 2022-05-21 18:04:37,  8, 130, WPA2, CCMP TKIP, PSK, -70,       37,        2,   0.  0.  0.  0,  12, TRING ASLLAN, 
00:2E:C7:3F:0C:28, 2022-05-21 18:04:05, 2022-05-21 18:04:38,  4, 130, WPA2, CCMP TKIP, PSK, -69,       22,        0,   0.  0.  0.  0,   6, JETMIR, 
E4:72:E2:E5:B0:28, 2022-05-21 18:04:03, 2022-05-21 18:04:38, 11, 130, WPA2, CCMP TKIP, PSK, -68,       50,      245,   0.  0.  0.  0,   6, EDUART, 
80:14:A8:F4:09:D8, 2022-05-21 18:04:06, 2022-05-21 18:04:39,  6, 270, WPA2, CCMP TKIP, PSK, -58,       41,        6,   0.  0.  0.  0,   8, Telekooo, 
5C:35:3B:82:44:59, 2022-05-21 18:04:03, 2022-05-21 18:04:39,  6, 130, WPA2, CCMP TKIP, PSK, -39,       52,        8,   0.  0.  0.  0,   4, KUKA, 
7C:C3:85:98:9D:9F, 2022-05-21 18:04:16, 2022-05-21 18:04:20, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
F8:98:B9:68:98:60, 2022-05-21 18:04:27, 2022-05-21 18:04:27,  5,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C0:51:7E:66:8F:4A, 2022-05-21 18:04:10, 2022-05-21 18:04:10, -92,        1, (not associated) ,
5E:94:DE:51:12:AD, 2022-05-21 18:04:27, 2022-05-21 18:04:27, -92,        3, F8:98:B9:68:98:60,
76:8F:82:7D:AF:E3, 2022-05-21 18:04:04, 2022-05-21 18:04:04, -91,        3, (not associated) ,
FA:99:4D:7B:6B:22, 2022-05-21 18:04:11, 2022-05-21 18:04:11, -90,        1, (not associated) ,
00:C3:F4:E5:D7:E6, 2022-05-21 18:04:13, 2022-05-21 18:04:20, -90,        3, 2C:AB:00:97:65:F6,
DA:26:49:E3:F4:8A, 2022-05-21 18:04:16, 2022-05-21 18:04:20, -90,        3, 7C:C3:85:98:9D:9F,
50:7A:55:0F:DC:19, 2022-05-21 18:04:25, 2022-05-21 18:04:25, -89,        2, (not associated) ,ALBtelecom-Driza
42:F9:0F:15:59:2B, 2022-05-21 18:04:13, 2022-05-21 18:04:13, -88,        1, (not associated) ,
8A:89:A6:B2:23:D5, 2022-05-21 18:04:08, 2022-05-21 18:04:28, -87,        5, 5C:35:3B:B9:3B:9C,
92:71:59:F8:6B:2E, 2022-05-21 18:04:14, 2022-05-21 18:04:36, -85,       11, DC:53:7C:45:51:76,
32:3D:78:44:C7:92, 2022-05-21 18:04:14, 2022-05-21 18:04:31, -74,       13, 80:14:A8:F4:09:D8,
80:4E:70:7F:67:10, 2022-05-21 18:04:10, 2022-05-21 18:04:36, -73,      255, E4:72:E2:E5:B0:28,
64:1C:B0:F7:4D:FE, 2022-05-21 18:04:37, 2022-05-21 18:04:37, -72,        1, 00:2E:C7:3F:0C:28,
04:8D:38:CC:A1:00, 2022-05-21 18:04:03, 2022-05-21 18:04:35, -40,        6, 5C:35:3B:82:44:59,
82:81:1D:DF:18:BC, 2022-05-21 18:04:04, 2022-05-21 18:04:38,  -1,      197, E4:47:B3:EF:69:6E,
D2:13:DF:96:4D:A0, 2022-05-21 18:04:39, 2022-05-21 18:04:39, -88,        1, (not associated) ,

